"creator","capacity","count","percentage","parking_facility_id","name","occupancy_id","created_at","updated_at"
"ue08618",97,16,16,"64ab0a91-b60a-4903-81df-b0a291f02892","Laufen","8e37f6f0-8825-4761-83d1-7b064af645fd","2021-04-16 16:11:00+00","2021-04-16 16:11:00+00"
"ue53969",60,11,18,"1c29f640-b703-43bd-95e8-36ae28263ef1","Bad Ragaz","adecb058-89b8-4c75-a298-6468e57984bf","2021-04-27 06:32:00+00","2021-04-27 06:32:00+00"
"ue86332",89,29,33,"8ff47646-0791-455f-9a7a-e8d35dd91803","Emmenbrücke","207cb4fc-b752-4ff1-99e9-fb5bfde22ba8","2021-06-03 09:11:00+00","2021-06-03 09:11:00+00"
"e521490",96,57,59,"1a354adc-047b-4e25-b3b5-5ae5f0f0d982","Siebnen-Wangen","6188ecde-fa7f-4bf3-92d3-edf86d780134","2021-08-18 08:41:00+00","2021-08-18 08:41:00+00"
"E535775",31,9,29,"c097733e-b5a8-44ff-8ef4-431a09181090","Mezzovico","eea46162-e712-4221-a6fd-489115ed4909","2021-08-25 06:44:00+00","2021-08-25 06:44:00+00"
"E518793",37,32,86,"12065247-11e1-4645-a9f1-89925f3142cf","Sion - Vers Le Pont","c5656f24-1200-4ed1-a667-7f8a3bfd81f4","2021-08-31 06:53:00+00","2021-08-31 06:53:00+00"
"E535775",37,15,41,"ff51377f-6e0c-4a4d-ab54-1fb3d1c7d6e0","Lamone-Cadempino","08ff6bd2-6363-49a6-ac02-cf41ec394515","2021-09-02 08:48:00+00","2021-09-02 08:48:00+00"
"E535775",26,7,27,"b5744b84-73b1-43ac-8253-b63aebc201ea","Rivera-Bironico","8432e59f-2772-4b7a-aa1b-e89016569bb9","2021-09-02 09:40:00+00","2021-09-02 09:40:00+00"
"E535775",37,10,27,"ff51377f-6e0c-4a4d-ab54-1fb3d1c7d6e0","Lamone-Cadempino","ec293575-17b6-4d42-8df7-5ccd8f49ff57","2021-09-08 07:07:00+00","2021-09-08 07:07:00+00"
"e536228",39,36,92,"b8af5973-68ad-4f04-8429-adac21d399a1","St. Gallen","6d4fa11b-cd8e-48f7-aff0-05b893ae3c8b","2021-09-10 17:46:00+00","2021-09-10 17:46:00+00"
"e527699",27,9,33,"5c3c676a-ea3c-4fa8-8fac-f1f7c91def4b","Rüschlikon","2e244944-8715-47f3-92e8-35d030e6d839","2021-09-12 12:10:00+00","2021-09-12 12:10:00+00"
"e510884",82,77,94,"f4af04aa-ca2a-4e2c-8a31-08c953fe1aba","Wolhusen","69aaaf0b-4355-42d3-b554-c83cd87c074f","2021-09-14 09:42:00+00","2021-09-14 09:42:00+00"
"e522023",87,13,15,"2b713d4f-6f4a-4ef7-894a-30280881e4f6","Münchenbuchsee","7b5cc2bf-be4d-4f04-89f6-e48a650434e4","2021-09-15 08:07:00+00","2021-09-15 08:07:00+00"
"u164570",80,77,96,"9071d64d-5035-4fea-8b25-b6c7f36edfbd","Brugg AG","f1d4d81e-145c-4f7c-ad92-b60fa84c81f3","2020-09-21 12:46:00+00","2020-09-21 12:46:00+00"
"u223758",33,8,24,"3bd86241-5b95-4e49-bc0b-492b8bfd6a48","Küsnacht ZH","96201fe6-d83b-4b64-aba8-8784de125032","2020-10-18 12:12:00+00","2020-10-18 12:12:00+00"
"E505061",16,2,13,"d34d1596-417b-4e04-9177-39bb0c877d86","Eclépens","bcfa06b2-fa81-4000-b6f3-0109bfc11592","2020-12-02 12:51:00+00","2020-12-02 12:51:00+00"
"E525212",290,60,21,"044f28f2-f105-449c-a622-684d6c9e0df9","Rotkreuz","3fc719fd-271f-47a0-85a8-91cf1152594d","2021-03-03 10:39:00+00","2021-03-03 10:39:00+00"
"ue30420",112,6,5,"2a80ee76-69e2-4e8c-89b9-771d9c220f80","Sissach","ab7d7968-196c-480e-89b8-c3a1d91fa3aa","2021-03-07 08:14:00+00","2021-03-07 08:14:00+00"
"ue30420",26,10,38,"42ff768c-321a-40c0-8b9b-8ea04ee366d6","Oberentfelden","64a82003-2930-4bdd-91ef-332acc32e3ef","2021-04-07 11:14:00+00","2021-04-07 11:14:00+00"
"u224117",130,80,62,"f5ca3848-ae84-43a6-acb9-4cde38de8d3c","Puidoux","ad63c72f-1481-4414-a3fa-538fee4880be","2020-09-30 12:59:00+00","2020-09-30 12:59:00+00"
"u232830",15,3,20,"13b1a2a5-25a2-4035-af9b-bcf268f8cb22","Oberbuchsiten","9d392714-8c4c-4633-a2a7-5e8f5ffd150e","2020-10-30 07:59:00+00","2020-10-30 07:59:00+00"
"U201186",63,6,10,"bdf8998f-117f-47b1-8859-49bbf442d23a","Kerzers","7fd28b06-df8a-4e10-9204-15dce50ae37f","2020-12-17 10:12:00+00","2020-12-17 10:12:00+00"
"e517885",87,52,60,"2b713d4f-6f4a-4ef7-894a-30280881e4f6","Münchenbuchsee","b6e1016d-87ab-4e39-a99a-1ed888720205","2021-03-16 08:30:00+00","2021-03-16 08:30:00+00"
"e504344",8,7,88,"951299a8-110d-410c-a4a8-25865f3a037b","Bern Wankdorf","3fdd7970-9024-4167-905f-fd344e0ce6e8","2021-09-20 06:29:00+00","2021-09-20 06:29:00+00"
"e527084",39,23,59,"b8af5973-68ad-4f04-8429-adac21d399a1","St. Gallen","c31b1df9-f534-49d1-9f3e-9876cb7600be","2021-09-26 13:05:00+00","2021-09-26 13:05:00+00"
"u221053",106,65,61,"d471c28d-42a2-40e9-917c-8b37037ccea1","Oberglatt","b8de86cf-4e8d-4b1e-8437-3daa0c95a9ba","2021-09-27 12:06:12.824998+00","2021-09-27 12:06:12.824966+00"
"e504730",48,18,38,"05804c7d-8b40-442f-b739-57f769e5ccfc","Escholzmatt","effbdffe-47e3-4083-9f11-909f8d463f81","2021-09-29 09:40:00+00","2021-09-29 09:40:00+00"
"e525066",15,12,80,"2c7c3ca3-077c-4985-8d2c-44f2e4b207d0","Zürich HB - Kurzzeitparkplatz","65bb3fbc-d5c2-4927-9b80-dc9cb05cda6c","2021-10-05 14:14:00+00","2021-10-05 14:14:00+00"
"E517885",7,0,0,"ec02364e-2e0e-48e8-8c1b-21e561ee3d0b","Oberwangen","4ff4fff1-0d44-466e-94af-93c0d26b077f","2021-04-27 06:48:00+00","2021-04-27 06:48:00+00"
