,12h,24h,7d,date
109,47.376152,47.54157,,2021-05-31 19:00:00
110,40.29183,40.084263,,2021-05-31 20:00:00
111,32.68359,34.111732,,2021-05-31 21:00:00
112,23.43516,25.275284,,2021-05-31 22:00:00
113,16.510408,18.342625,,2021-05-31 23:00:00
114,13.681236,13.620334,,2021-06-01 00:00:00
115,12.166898,11.169853,,2021-06-01 01:00:00
116,10.275166,10.288523,,2021-06-01 02:00:00
117,9.143352,9.423133,,2021-06-01 03:00:00
118,9.618458,9.669008,,2021-06-01 04:00:00
119,9.995146,10.601289,,2021-06-01 05:00:00
120,12.396601,13.108061,,2021-06-01 06:00:00
121,18.168528,18.652607,,2021-06-01 07:00:00
122,26.582771,27.751167,,2021-06-01 08:00:00
123,44.772877,47.121025,,2021-06-01 09:00:00
124,71.709625,71.2847,,2021-06-01 10:00:00
125,85.48201,85.925865,,2021-06-01 11:00:00
126,86.55232,87.01557,,2021-06-01 12:00:00
127,85.63131,85.76923,,2021-06-01 13:00:00
128,85.461525,85.866684,,2021-06-01 14:00:00
129,87.55788,87.48555,,2021-06-01 15:00:00
130,87.62453,86.92618,,2021-06-01 16:00:00
131,80.90714,81.902054,,2021-06-01 17:00:00
132,67.84078,65.970116,,2021-06-01 18:00:00
133,57.116806,57.181396,,2021-06-01 19:00:00
134,53.851547,51.815697,,2021-06-01 20:00:00
135,51.90688,51.90688,,2021-06-01 21:00:00
136,41.872284,42.890438,,2021-06-01 22:00:00
137,27.085203,27.085203,,2021-06-01 23:00:00
138,19.139767,17.404549,,2021-06-02 00:00:00
139,15.583112,13.96967,,2021-06-02 01:00:00
140,13.371822,11.810536,,2021-06-02 02:00:00
141,11.005302,9.952623,,2021-06-02 03:00:00
142,10.256397,9.947798,,2021-06-02 04:00:00
143,9.943953,10.109386,,2021-06-02 05:00:00
144,13.013918,12.189326,,2021-06-02 06:00:00
145,17.075563,17.075563,,2021-06-02 07:00:00
146,26.803108,26.7811,,2021-06-02 08:00:00
147,47.26293,47.26293,,2021-06-02 09:00:00
148,70.90135,71.17479,,2021-06-02 10:00:00
149,85.0534,85.0534,,2021-06-02 11:00:00
150,85.41791,86.21173,,2021-06-02 12:00:00
151,83.64022,84.184364,,2021-06-02 13:00:00
152,85.53957,85.190796,,2021-06-02 14:00:00
153,87.17083,87.43438,,2021-06-02 15:00:00
154,86.25078,86.378944,,2021-06-02 16:00:00
155,80.69958,80.74086,,2021-06-02 17:00:00
156,67.22148,63.559307,63.81625,2021-06-02 18:00:00
157,52.81125,52.545193,52.545193,2021-06-02 19:00:00
158,43.40383,51.6559,44.223537,2021-06-02 20:00:00
159,49.16386,44.10519,40.228676,2021-06-02 21:00:00
160,41.852757,30.106636,30.106636,2021-06-02 22:00:00
161,26.886215,23.368717,20.308805,2021-06-02 23:00:00
162,14.839449,16.19782,15.121538,2021-06-03 00:00:00
163,12.681723,13.095164,13.095164,2021-06-03 01:00:00
164,10.785838,11.400711,11.042504,2021-06-03 02:00:00
165,9.536848,9.536848,9.536848,2021-06-03 03:00:00
166,10.02985,10.021519,10.021519,2021-06-03 04:00:00
167,10.153472,10.153472,10.153472,2021-06-03 05:00:00
168,11.589476,12.068248,12.89866,2021-06-03 06:00:00
169,16.2336,17.58123,17.58123,2021-06-03 07:00:00
170,26.748514,26.823345,26.823345,2021-06-03 08:00:00
171,45.103287,44.471767,46.499794,2021-06-03 09:00:00
172,70.923,70.871185,71.58238,2021-06-03 10:00:00
173,85.69276,85.69276,86.237885,2021-06-03 11:00:00
174,85.42869,87.07204,87.045784,2021-06-03 12:00:00
175,82.789246,83.10807,85.294174,2021-06-03 13:00:00
176,84.7694,84.39949,85.21028,2021-06-03 14:00:00
177,87.028206,87.116585,87.116585,2021-06-03 15:00:00
178,86.144455,85.76346,85.76346,2021-06-03 16:00:00
179,80.23504,77.672455,77.672455,2021-06-03 17:00:00
180,63.606434,63.530796,63.455315,2021-06-03 18:00:00
181,51.973274,52.58381,52.980736,2021-06-03 19:00:00
182,43.342857,43.43998,44.932884,2021-06-03 20:00:00
183,39.709534,39.576927,39.848675,2021-06-03 21:00:00
184,29.86087,29.851557,29.851557,2021-06-03 22:00:00
185,26.933334,19.937141,19.94478,2021-06-03 23:00:00
186,17.520405,14.895137,14.895137,2021-06-04 00:00:00
187,13.741035,12.191795,13.370409,2021-06-04 01:00:00
188,11.742601,11.199978,11.212765,2021-06-04 02:00:00
189,9.918903,9.677293,9.622338,2021-06-04 03:00:00
