,12h,24h,7d,date
107,20.624529,24.956984,,2021-08-21 09:00:00
108,22.010073,27.202358,,2021-08-21 10:00:00
109,29.534138,29.316343,,2021-08-21 11:00:00
110,25.481983,31.463202,,2021-08-21 12:00:00
111,21.499834,30.735533,,2021-08-21 13:00:00
112,26.454256,28.483875,,2021-08-21 14:00:00
113,22.216724,24.905693,,2021-08-21 15:00:00
114,11.734306,18.335814,,2021-08-21 16:00:00
115,11.06482,13.288333,,2021-08-21 17:00:00
116,6.641618,8.728471,,2021-08-21 18:00:00
117,8.660159,8.984283,,2021-08-21 19:00:00
118,6.8094945,7.1339827,,2021-08-21 20:00:00
119,6.203432,6.1948566,,2021-08-21 21:00:00
120,5.907859,5.884172,,2021-08-21 22:00:00
121,5.1686654,5.023124,,2021-08-21 23:00:00
122,6.021092,5.7033772,,2021-08-22 00:00:00
123,4.5338655,5.3198147,,2021-08-22 01:00:00
124,4.550027,5.610376,,2021-08-22 02:00:00
125,5.432921,5.793591,,2021-08-22 03:00:00
126,6.343008,7.0498977,,2021-08-22 04:00:00
127,6.6697435,6.817597,,2021-08-22 05:00:00
128,6.5932326,5.614041,,2021-08-22 06:00:00
129,7.6392674,7.4455442,,2021-08-22 07:00:00
130,8.753104,8.823076,,2021-08-22 08:00:00
131,10.122815,11.503182,,2021-08-22 09:00:00
132,12.585709,12.118971,,2021-08-22 10:00:00
133,11.713015,13.4997,,2021-08-22 11:00:00
134,14.075947,14.075947,,2021-08-22 12:00:00
135,14.110948,16.227478,,2021-08-22 13:00:00
136,14.118546,16.646032,,2021-08-22 14:00:00
137,10.489753,13.0239,,2021-08-22 15:00:00
138,12.283044,10.388593,,2021-08-22 16:00:00
139,8.751168,8.863319,,2021-08-22 17:00:00
140,7.419312,9.265241,,2021-08-22 18:00:00
141,6.3783255,7.036219,,2021-08-22 19:00:00
142,5.318058,5.833135,,2021-08-22 20:00:00
143,4.7288675,7.937788,,2021-08-22 21:00:00
144,4.485937,5.3344693,,2021-08-22 22:00:00
145,4.038,6.8105865,,2021-08-22 23:00:00
146,4.529784,5.389579,,2021-08-23 00:00:00
147,5.139364,5.2857184,,2021-08-23 01:00:00
148,4.4696493,5.341636,,2021-08-23 02:00:00
149,4.8417497,7.024771,,2021-08-23 03:00:00
150,6.600082,6.4857607,,2021-08-23 04:00:00
151,11.47668,11.208815,,2021-08-23 05:00:00
152,24.460258,26.396643,,2021-08-23 06:00:00
153,38.164055,36.487247,,2021-08-23 07:00:00
154,34.56808,42.85031,,2021-08-23 08:00:00
155,46.923973,46.637695,,2021-08-23 09:00:00
156,47.25277,48.75333,,2021-08-23 10:00:00
157,50.15715,49.68309,,2021-08-23 11:00:00
158,51.503174,50.165768,,2021-08-23 12:00:00
159,52.81546,49.860836,,2021-08-23 13:00:00
160,46.096767,47.42356,,2021-08-23 14:00:00
161,43.386963,44.033234,,2021-08-23 15:00:00
162,30.43379,34.577766,,2021-08-23 16:00:00
163,20.291536,25.278013,,2021-08-23 17:00:00
164,13.469964,13.919439,,2021-08-23 18:00:00
165,10.810534,8.38013,,2021-08-23 19:00:00
166,9.026,8.3351965,,2021-08-23 20:00:00
167,6.8184886,5.486281,,2021-08-23 21:00:00
168,5.46058,4.1014204,,2021-08-23 22:00:00
169,4.2382197,3.7104335,,2021-08-23 23:00:00
170,4.503201,4.424398,,2021-08-24 00:00:00
171,4.4700704,5.7143135,,2021-08-24 01:00:00
172,4.4413953,5.3239036,,2021-08-24 02:00:00
173,5.1173754,5.502756,,2021-08-24 03:00:00
174,5.108656,5.528641,,2021-08-24 04:00:00
175,12.534579,12.534238,,2021-08-24 05:00:00
176,25.57267,28.540785,,2021-08-24 06:00:00
177,39.311707,43.531975,,2021-08-24 07:00:00
178,47.70816,52.20479,,2021-08-24 08:00:00
179,52.194965,56.39088,,2021-08-24 09:00:00
180,57.500805,57.500805,,2021-08-24 10:00:00
181,52.0905,55.679306,,2021-08-24 11:00:00
182,53.607147,57.188248,,2021-08-24 12:00:00
183,54.68881,57.272057,,2021-08-24 13:00:00
184,53.560802,53.559372,,2021-08-24 14:00:00
185,46.949455,49.735264,,2021-08-24 15:00:00
186,41.70738,34.897568,,2021-08-24 16:00:00
187,32.11842,23.006668,,2021-08-24 17:00:00
188,17.12142,20.771551,,2021-08-24 18:00:00
189,12.39147,13.3675165,,2021-08-24 19:00:00
190,10.192729,10.0194025,,2021-08-24 20:00:00
191,7.551881,6.9242845,,2021-08-24 21:00:00
192,5.7820487,5.2243595,,2021-08-24 22:00:00
193,5.8118477,4.077718,,2021-08-24 23:00:00
194,4.3698306,6.0217943,,2021-08-25 00:00:00
195,6.6178746,6.500304,,2021-08-25 01:00:00
196,4.998931,6.1138797,,2021-08-25 02:00:00
197,5.3327084,4.999866,,2021-08-25 03:00:00
198,5.3564906,5.894605,,2021-08-25 04:00:00
199,11.064905,10.396237,,2021-08-25 05:00:00
200,24.611185,26.86679,,2021-08-25 06:00:00
201,42.003242,40.242992,,2021-08-25 07:00:00
202,48.89448,45.17563,,2021-08-25 08:00:00
